Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
11	7	2022	10.0553846153846	10.3569230769231	0	1.3
12	7	2022	8.00347222222222	8.30694444444444	0	2.48
13	7	2022	7.69861111111111	8.02361111111111	0	2.53
14	7	2022	8.26180555555556	8.56875	0	3.12
15	7	2022	8.52638888888889	8.85486111111111	0	3.01
16	7	2022	9.05347222222222	9.34097222222222	0.43180805034745	3.01
17	7	2022	7.19513888888889	7.46319444444444	0.287872033564967	1.7
18	7	2022	5.56736111111111	5.70486111111111	3.4544644027796	1.05
19	7	2022	6.84166666666667	7.10208333333333	0	2.93
20	7	2022	6.54375	6.81041666666667	0	2.82
21	7	2022	7.47013888888889	7.7625	0	3.17
22	7	2022	7.72083333333333	8.03611111111111	0	2.87
23	7	2022	7.69513888888889	8.02291666666667	0	2.93
24	7	2022	7.45138888888889	7.74583333333333	0	2.46
25	7	2022	7.82708333333333	8.07083333333333	0	2.24
26	7	2022	6.17916666666667	6.40763888888889	0	1.68
27	7	2022	6.58680555555556	6.85833333333333	0	2.52
28	7	2022	7.15555555555556	7.47291666666667	0	2.84
29	7	2022	7.46388888888889	7.75416666666667	0	3.93
30	7	2022	6.94375	7.22222222222222	0	3.57
31	7	2022	8.29583333333333	8.57222222222222	0	3.46
1	8	2022	7.95625	8.25694444444444	0	2.45
2	8	2022	6.75625	7.02291666666667	0	1.51
3	8	2022	6.77986111111111	7.06180555555556	0	1.9
4	8	2022	6.78958333333333	7.04097222222222	0.287872033564967	1.6
5	8	2022	7.04244604316547	7.32517985611511	0	1.82
6	8	2022	7.04236111111111	7.24097222222222	1.87116821817228	1.63
7	8	2022	7.64722222222222	7.93472222222222	0	2.06
8	8	2022	7.24027777777778	7.51666666666667	0	2.21
9	8	2022	6.84722222222222	7.07916666666667	0.287872033564967	1.48
10	8	2022	5.74305555555556	5.92430555555556	3.16659236921463	1.17
11	8	2022	6.7375	6.95277777777778	0.575744067129933	2.85
12	8	2022	7.27361111111111	7.60138888888889	0	3.06
13	8	2022	7.69513888888889	8.00763888888889	0	2.85
14	8	2022	7.85416666666667	8.20277777777778	0	3.59
15	8	2022	8.11944444444444	8.45277777777778	0	3.49
16	8	2022	8.34791666666667	8.68958333333333	0	3.26
17	8	2022	8.51388888888889	8.83680555555556	0	2.75
18	8	2022	8.55625	8.88819444444444	0	3.01
19	8	2022	6.7125	6.97708333333333	0	1.54
20	8	2022	7.55972222222222	7.80972222222222	0	3.16
21	8	2022	6.65	6.96597222222222	0	3.15
22	8	2022	6.13819444444444	6.45	0	3.69
23	8	2022	6.06944444444444	6.36736111111111	0	3.43
24	8	2022	6.20833333333333	6.50902777777778	0	3.89
25	8	2022	6.95069444444444	7.23472222222222	0	4.08
26	8	2022	7.01111111111111	7.31041666666667	0	2.99
27	8	2022	6.75902777777778	7.06458333333333	0	2.7
28	8	2022	5.97361111111111	6.24513888888889	1.15148813425987	1.82
29	8	2022	5.46666666666667	5.69236111111111	0	2.08
30	8	2022	5.0875	5.28402777777778	0	1.37
31	8	2022	7.13958333333333	7.44027777777778	0	3.66
1	9	2022	8.18888888888889	8.50277777777778	0	4.02
2	9	2022	8.36666666666667	8.70555555555556	0	3.97
3	9	2022	6.19444444444444	6.52638888888889	0	1.98
4	9	2022	5.72638888888889	6.00347222222222	0	1.9
5	9	2022	5.92986111111111	6.22222222222222	0	2.34
6	9	2022	6.94861111111111	7.21805555555556	0	3.9
7	9	2022	8.60833333333333	8.96736111111111	0	3.42
8	9	2022	8.18194444444444	8.50138888888889	0	2.79
9	9	2022	7.76527777777778	8.12777777777778	0	3.4
10	9	2022	6.85972222222222	7.08888888888889	0	1.76
11	9	2022	7.71527777777778	8.03541666666667	0	2.73
12	9	2022	8.18888888888889	8.54444444444444	0	3.36
13	9	2022	9.09375	9.40416666666667	0	3.38
14	9	2022	8.04097222222222	8.27013888888889	0	1.6
15	9	2022	7.82361111111111	8.03055555555556	0.287872033564967	1.96
16	9	2022	7.03194444444444	7.20625	0	1.4
17	9	2022	6.8013986013986	7.10839160839161	0	2.19
18	9	2022	8.28125	8.56527777777778	1.00755211747738	3.22
19	9	2022	8.52291666666667	8.82638888888889	0	2.79
20	9	2022	8.54444444444444	8.83819444444444	0	3.69
21	9	2022	8.24791666666667	8.52361111111111	0	3.14
22	9	2022	8.6125	8.91180555555556	0	3.42
23	9	2022	8.54375	8.80763888888889	0	3.84
24	9	2022	7.01805555555556	7.28472222222222	0	2.55
25	9	2022	7.14930555555556	7.47083333333333	8.636161006949	2.45
26	9	2022	8.00972222222222	8.32083333333333	0.143936016782483	3.19
27	9	2022	7.72569444444444	7.98055555555556	0	2.31
28	9	2022	8.36319444444444	8.71458333333333	1.15148813425987	3.29
29	9	2022	7.41666666666667	7.70833333333333	14.2496656614658	2.25
30	9	2022	5.47361111111111	5.60208333333333	1.43936016782483	0.77
1	10	2022	5.63453237410072	5.79424460431655	0	1.15
2	10	2022	6.93333333333333	7.20208333333333	0	3.08
3	10	2022	7.06180555555556	7.32638888888889	0	2.82
4	10	2022	8.10347222222222	8.39305555555556	9.4997771076439	2.4
5	10	2022	7.83888888888889	8.09861111111111	0	2.72
6	10	2022	7.37083333333333	7.67361111111111	0	2.07
7	10	2022	6.61597222222222	6.80833333333333	1.29542415104235	1.31
8	10	2022	6.82222222222222	7.06180555555556	0	2.08
9	10	2022	7.98819444444444	8.27013888888889	0	2.76
10	10	2022	8.00902777777778	8.31944444444444	0	3.51
11	10	2022	8.25	8.56458333333333	0	3.55
12	10	2022	8.40069444444444	8.71527777777778	6.76499278877671	3.01
13	10	2022	8.57152777777778	8.87013888888889	0.719680083912416	3.18
14	10	2022	8.14861111111111	8.40972222222222	5.32563262095188	2.07
15	10	2022	6.16527777777778	6.31458333333333	5.61350465451685	0.88
16	10	2022	7.90555555555556	8.16597222222222	0	2.56
17	10	2022	7.92986111111111	8.13958333333333	3.4544644027796	1.94
18	10	2022	7.92916666666667	8.15833333333333	0	1.83
19	10	2022	8.3	8.50972222222222	1.7272322013898	2.26
20	10	2022	7.67986111111111	7.875	1.7272322013898	1.56
21	10	2022	7.68958333333333	7.95902777777778	9.93158515799135	2.46
22	10	2022	7.40833333333333	7.63958333333333	0.8636161006949	2
23	10	2022	8.00833333333333	8.27569444444444	0	2.71
24	10	2022	7.22430555555556	7.43125	5.46956863773436	1.43
25	10	2022	9.1625	9.43333333333333	0	3.41
26	10	2022	9.38055555555556	9.70833333333333	0	3.79
27	10	2022	8.92361111111111	9.23125	0	3.54
28	10	2022	9.15347222222222	9.43819444444444	0	3.75
29	10	2022	8.46527777777778	8.73125	0	3.68
30	10	2022	8.71527777777778	9.04305555555556	0	5.15
31	10	2022	9.19305555555556	9.50555555555555	0	4.52
1	11	2022	8.81111111111111	9.12708333333333	0	3.72
2	11	2022	7.63402777777778	7.82916666666667	0	2.17
3	11	2022	8.3125	8.59305555555556	0	3.03
4	11	2022	8.69583333333333	8.975	0	3.95
5	11	2022	8.60972222222222	8.92777777777778	0	4.51
6	11	2022	8.74583333333333	9.04791666666667	0	4.14
7	11	2022	8.33263888888889	8.63263888888889	0	3.23
8	11	2022	7.95208333333333	8.26875	9.93158515799135	3.31
9	11	2022	7.6625	7.88333333333333	0	2.11
10	11	2022	7.37708333333333	7.60625	0	2.47
11	11	2022	8.69652777777778	9.00069444444444	0	4.32
12	11	2022	9.19930555555556	9.525	0	5.28
13	11	2022	9.79791666666667	10.1152777777778	0	4.96
14	11	2022	7.9375	8.21527777777778	0	2.69
15	11	2022	7.92152777777778	8.16527777777778	0.287872033564967	2.32
16	11	2022	6.30555555555556	6.47430555555556	0.287872033564967	1.29
17	11	2022	7.35555555555556	7.62013888888889	0	2.41
18	11	2022	8.30138888888889	8.56597222222222	0	3.68
19	11	2022	8.72222222222222	8.99722222222222	0	3.47
20	11	2022	9.08402777777778	9.37291666666667	0	3.66
21	11	2022	8.575	8.88819444444444	7.19680083912416	2.7
22	11	2022	8.10208333333333	8.43611111111111	0	3.46
23	11	2022	7.47847222222222	7.82222222222222	4.74988855382195	2.57
24	11	2022	7.20763888888889	7.42222222222222	3.88627245312705	1.92
25	11	2022	7.44791666666667	7.69444444444444	1.43936016782483	3.23
26	11	2022	8.43125	8.67569444444444	0	4.64
27	11	2022	7.51388888888889	7.76111111111111	0	2.99
28	11	2022	8.61041666666667	8.89583333333333	0	4.17
29	11	2022	7.98055555555556	8.32152777777778	1.00755211747738	3.3
